Issue,Section,Page,NumPages,ItemTitle,ItemType,OriginalContent,AuthorName,AuthorTitle
1,Hear the World: A collection of quotes from friend and foe,4,1,Hear the World: A collection of quotes from friend and foe,News,0,Various,NA
1,The Operation of 'Umar al-Faruq al-Nigiri in Response to the American Aggression on Yemen,5,1,The Operation of 'Umar al-Faruq al-Nigiri in Response to the American Aggression on Yemen,News,0,Al-Qaeda in the Arabian Peninsula,NA
1,The Chaste of Buraydah in the Prisons of Tyrants,6,1,The Chaste of Buraydah in the Prisons of Tyrants,News,0,Al-Qaeda in the Arabian Peninsula,NA
1,Questions we all should be asking,7,1,Questions we all should be asking,News,1,NA,NA
1,The Way to Save the Earth,8,3,The Way to Save the Earth,Ideology,0,Usama bin Laden,Shaykh
1,Message to the People of Yemen,11,1,Message to the People of Yemen,Ideology,0,Ayman al-Zawahiri,Dr.
1,News Flash,12,1,News Flash,News,1,NA,NA
1,"Interview with Shaykh Abu Basir, the Head of al-Qaidah in the Arabian Peninsula",13,5,"Interview with Shaykh Abu Basir, the Head of al-Qaidah in the Arabian Peninsula",Interviews,1,Al-Malahem,NA
1,Ready to purchase your favorite shoes?,18,1,Ready to purchase your favorite shoes?,Advertisement,NA,NA,NA
1,The West Should Ban the Niqab Covering Its Real Face,19,2,The West Should Ban the Niqab Covering Its Real Face,Opinion,1,Yahya Ibrahim,NA
1,The Cartoon Crusade,23,2,Timeline of Events pertaining to the cartoons,History,1,NA,NA
1,The Cartoon Crusade,25,1,The Dust will never settle down,Strategy,NA,NA,NA
1,The Cartoon Crusade,26,3,May our souls be sacrified for you!,Ideology,1,Anwar al-Awlaki,Shaykh
1,From Usamah to Obama,29,1,From Usamah to Obama,Ideology,0,Usama bin Laden,Shaykh
1,"O Martyr, You Have Illuminated!",30,1,"O Martyr, You have illuminated!",Poetry,1,NA,NA
1,Open Source Jihad,33,8,Make a bomb in the kitchen of your Mom,How-To Guides,1,AQ Chef,NA
1,Open Source Jihad,41,4,How to Use Asrar al-Mujahideen: Sending and Receiving Encrypted Messages,How-To Guides,1,Terr0r1st,NA
1,What to Expect in Jihad (Part 1),45,3,What to Expect in Jihad (Part 1),How-To Guides,1,Mukhtar Hassan,NA
1,The Jihadi Experiences: the Schools of Jihad,48,7,The Jihadi Experiences: the Schools of Jihad,History,1,Abu Musab ab al-Suri,NA
1,The 6 Calls of al-Anfal,54,1,The 6 Calls of al-Anfal,Ideology,1,Umar Hussain,Shaykh
1,Don't Be Sad: Our Brothers in al-Shabab al-Mujahidin,55,1,Don't Be Sad: Our Brothers in al-Shabab al-Mujahidin,Ideology,0,Abu Atta (al-Shabab al-Mujahidin),NA
1,Shaykh Anwar's Message to the American People and Muslims in the West,56,3,Shaykh Anwar's Message to the American People and Muslims in the West,Ideology,0,Anwar al-Awlaki,Shaykh
1,Shaykh Abu Basir said,59,1,Shaykh Abu Basir said,Ideology,0,Abu Basir,Shaykh
1,The Fight Over the Mountains,60,3,The Fight Over the Mountains,Testimony,1,Adnan Muhammad Ali as-Saigh,NA
